name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Good Retrieval Augmented Generation (GRAG),,https://g-rag.org/,logos/7e36944ab12adc90dccd041679430426cae3b769101df79369620431d06b3930.svg,,,,,,,,,A simple open-source python package that provides an easy end-to-end solution for implementing Retrieval Augmented Generation (RAG),,,,,,,,,,,,Technical Prototypes,Code,,,,,,,,,,,,,,,,,,,,,,,,
Graph Network Simulator,,https://www.geoelements.org/gns/#/,logos/1f3aa41a44a6f27e22606029a36772f4685721d05100951cdd2e86e0703fad31.svg,,,,,,,,,"Graph Network-based Simulator (GNS) is a framework for developing generalizable, efficient, and accurate machine learning (ML)-based surrogate models for particulate and fluid systems using Graph Neural Networks (GNNs). GNS code is a viable surrogate for numerical methods such as Material Point Method, Smooth Particle Hydrodynamics and Computational Fluid dynamics. GNS exploits distributed data parallelism to achieve fast multi-GPU training. The GNS code can handle complex boundary conditions and multi-material interactions. GNS is a viable surrogate for numerical models such as Material Point Method, Smooth Particle Hydrodynamics and Computational Fluid dynamics.",,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Graph Network Simulator,,https://www.geoelements.org/gns/#/,logos/1f3aa41a44a6f27e22606029a36772f4685721d05100951cdd2e86e0703fad31.svg,,,,,,,,,"Graph Network-based Simulator (GNS) is a framework for developing generalizable, efficient, and accurate machine learning (ML)-based surrogate models for particulate and fluid systems using Graph Neural Networks (GNNs). GNS code is a viable surrogate for numerical methods such as Material Point Method, Smooth Particle Hydrodynamics and Computational Fluid dynamics. GNS exploits distributed data parallelism to achieve fast multi-GPU training. The GNS code can handle complex boundary conditions and multi-material interactions. GNS is a viable surrogate for numerical models such as Material Point Method, Smooth Particle Hydrodynamics and Computational Fluid dynamics.",,,,,,,,,,,,Technical Prototypes,Compute,,,,,,,,,,,,,,,,,,,,,,,,
Invertible Networks,,https://github.com/slimgroup/InvertibleNetworks.jl,logos/a36ee34dc322e2f13b9267f18a0766ae626a6e097fd28ca14e7549a75ad06c1e.svg,,,,,,,,,Julia toolkit for creating invertible neural network solutions. Applied for work related to seismic (oil and gas) exploration,,,,,,,,,,,,Technical Prototypes,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
Linearized LLM,,https://github.com/GATECH-EIC/Linearized-LLM,logos/e39ad5ad12a68446946fd8f8181cc0cd6dd9cae71dff69919e4a69e1baf8a86b.svg,,,,,,,,,ICML 2024 related work focused on improving Llama2 speed and perplexity. When Linear Attention Meets Autoregressive Decoding: Towards More Effective and Efficient Linearized Large Language Models,,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Linearized LLM,,https://github.com/GATECH-EIC/Linearized-LLM,logos/e39ad5ad12a68446946fd8f8181cc0cd6dd9cae71dff69919e4a69e1baf8a86b.svg,,,,,,,,,ICML 2024 related work focused on improving Llama2 speed and perplexity. When Linear Attention Meets Autoregressive Decoding: Towards More Effective and Efficient Linearized Large Language Models,,,,,,,,,,,,Technical Prototypes,Compute,,,,,,,,,,,,,,,,,,,,,,,,
Linearized LLM,,https://github.com/GATECH-EIC/Linearized-LLM,logos/e39ad5ad12a68446946fd8f8181cc0cd6dd9cae71dff69919e4a69e1baf8a86b.svg,,,,,,,,,ICML 2024 related work focused on improving Llama2 speed and perplexity. When Linear Attention Meets Autoregressive Decoding: Towards More Effective and Efficient Linearized Large Language Models,,,,,,,,,,,,Technical Prototypes,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
Micro-Lecture Pipeline,,https://www.cmu.edu/dietrich/,logos/7ef4e66d51c66448bc2ebda42593cb974b6d7363c73c32669adc87cdcd5ff61a.svg,,,,,,,,,"AI-generated short slides explaining key concepts with voiceover, integrated with assessments. The system will be developed to adapt content to different levels of complexity to assist in lecture preparation for instructors.",,,,,,,,,,,,Technical Prototypes,"Expertise, education, training",,,,,,,,,,,,,,,,,,,,,,,,
Nested Fusion,,https://github.com/pixlise/NestedFusion,logos/4ed9df80dd2205c8ffb81f259f05e35b96c395e03cd3d594ff2938881b27d1ff.svg,,,,,,,,,AI models for Mars rover data analysis; Dimensioanlity Reduction and Latent Structure Analysis of Multi-Scale Nested Data for M2020 PIXL RGBU and XRF Data,,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Nested Fusion,,https://github.com/pixlise/NestedFusion,logos/4ed9df80dd2205c8ffb81f259f05e35b96c395e03cd3d594ff2938881b27d1ff.svg,,,,,,,,,AI models for Mars rover data analysis; Dimensioanlity Reduction and Latent Structure Analysis of Multi-Scale Nested Data for M2020 PIXL RGBU and XRF Data,,,,,,,,,,,,Technical Prototypes,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
Operational Gaming Engine (OGE),,https://www.cmu.edu/dietrich/,logos/a35499f10b08084a0de0b26e6ffb528bdc0c289a872b1c2d21c3f6954a4ac7f2.svg,,,,,,,,,"An AI platform develops immersive simulations to enhance strategic decision-making. Users practice and refine processes, receiving feedback to improve. The system educates players on LLM techniques like system prompting and RAG, empowering transformative decision-making experiences across diverse fields.",,,,,,,,,,,,Technical Prototypes,Human feedback,,,,,,,,,,,,,,,,,,,,,,,,
Operator Learning,,https://tyler-ingebrand.github.io/OperatorFunctionEncoder/,logos/b02c2fdfa394eee6106394e8759962c7534b0ea1486c855d69e1d2659c6d83fc.svg,,,,,,,,,"We present Basis-to-Basis (B2B) operator learning, a novel approach for learning operators on Hilbert spaces of functions based on the foundational ideas of function encoders. We decompose the task of learning operators into two parts, learning sets of basis functions for both the input and output spaces, and learning a potentially nonlinear mapping between the coefficients of the basis functions. B2B operator learning circumvents many challenges of prior works, such as requiring data to be at fixed locations, by leveraging classic techniques such as least-squares to compute the coefficients.",,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Operator Learning,,https://tyler-ingebrand.github.io/OperatorFunctionEncoder/,logos/b02c2fdfa394eee6106394e8759962c7534b0ea1486c855d69e1d2659c6d83fc.svg,,,,,,,,,"We present Basis-to-Basis (B2B) operator learning, a novel approach for learning operators on Hilbert spaces of functions based on the foundational ideas of function encoders. We decompose the task of learning operators into two parts, learning sets of basis functions for both the input and output spaces, and learning a potentially nonlinear mapping between the coefficients of the basis functions. B2B operator learning circumvents many challenges of prior works, such as requiring data to be at fixed locations, by leveraging classic techniques such as least-squares to compute the coefficients.",,,,,,,,,,,,Technical Prototypes,Compute,,,,,,,,,,,,,,,,,,,,,,,,
OSI Open Source AI Definition,,https://opensource.org/deepdive,logos/ae0c675bdab7ed13b18045e32840e900026600d33245ed6b5e5549eeff66cfac.svg,,,,,,,,,"The Open Source AI Deep Dive project by the Open Source Initiative is a global, multi-stakeholder effort to define what constitutes ""Open Source AI."" It seeks to create a framework for AI systems that ensures transparency, collaboration, and the four freedoms (use, study, share, modify). The project involves experts from diverse fields working together through co-design methods to establish a widely accepted definition and legal guidelines for open-source AI development.",,,,,,,,,,,,Community Engagement,Data,,,,,,,,,,,,,,,,,,,,,,,,
OSI Open Source AI Definition,,https://opensource.org/deepdive,logos/ae0c675bdab7ed13b18045e32840e900026600d33245ed6b5e5549eeff66cfac.svg,,,,,,,,,"The Open Source AI Deep Dive project by the Open Source Initiative is a global, multi-stakeholder effort to define what constitutes ""Open Source AI."" It seeks to create a framework for AI systems that ensures transparency, collaboration, and the four freedoms (use, study, share, modify). The project involves experts from diverse fields working together through co-design methods to establish a widely accepted definition and legal guidelines for open-source AI development.",,,,,,,,,,,,Community Engagement,Code,,,,,,,,,,,,,,,,,,,,,,,,
OSI Open Source AI Definition,,https://opensource.org/deepdive,logos/ae0c675bdab7ed13b18045e32840e900026600d33245ed6b5e5549eeff66cfac.svg,,,,,,,,,"The Open Source AI Deep Dive project by the Open Source Initiative is a global, multi-stakeholder effort to define what constitutes ""Open Source AI."" It seeks to create a framework for AI systems that ensures transparency, collaboration, and the four freedoms (use, study, share, modify). The project involves experts from diverse fields working together through co-design methods to establish a widely accepted definition and legal guidelines for open-source AI development.",,,,,,,,,,,,Community Engagement,Compute,,,,,,,,,,,,,,,,,,,,,,,,
OSI Open Source AI Definition,,https://opensource.org/deepdive,logos/ae0c675bdab7ed13b18045e32840e900026600d33245ed6b5e5549eeff66cfac.svg,,,,,,,,,"The Open Source AI Deep Dive project by the Open Source Initiative is a global, multi-stakeholder effort to define what constitutes ""Open Source AI."" It seeks to create a framework for AI systems that ensures transparency, collaboration, and the four freedoms (use, study, share, modify). The project involves experts from diverse fields working together through co-design methods to establish a widely accepted definition and legal guidelines for open-source AI development.",,,,,,,,,,,,Policy Recommendations,Data,,,,,,,,,,,,,,,,,,,,,,,,
OSI Open Source AI Definition,,https://opensource.org/deepdive,logos/ae0c675bdab7ed13b18045e32840e900026600d33245ed6b5e5549eeff66cfac.svg,,,,,,,,,"The Open Source AI Deep Dive project by the Open Source Initiative is a global, multi-stakeholder effort to define what constitutes ""Open Source AI."" It seeks to create a framework for AI systems that ensures transparency, collaboration, and the four freedoms (use, study, share, modify). The project involves experts from diverse fields working together through co-design methods to establish a widely accepted definition and legal guidelines for open-source AI development.",,,,,,,,,,,,Policy Recommendations,Code,,,,,,,,,,,,,,,,,,,,,,,,
OSI Open Source AI Definition,,https://opensource.org/deepdive,logos/ae0c675bdab7ed13b18045e32840e900026600d33245ed6b5e5549eeff66cfac.svg,,,,,,,,,"The Open Source AI Deep Dive project by the Open Source Initiative is a global, multi-stakeholder effort to define what constitutes ""Open Source AI."" It seeks to create a framework for AI systems that ensures transparency, collaboration, and the four freedoms (use, study, share, modify). The project involves experts from diverse fields working together through co-design methods to establish a widely accepted definition and legal guidelines for open-source AI development.",,,,,,,,,,,,Policy Recommendations,Compute,,,,,,,,,,,,,,,,,,,,,,,,
Pangea Multilingual Multimodal Large Language Model (MLLM),,https://neulab.github.io/Pangea/,logos/114ff391c729815ab29a07c2c4b0ba3f6fd1e3c500dd58961a8bcb0526573b63.svg,,,,,,,,,"Carnegie Mellon University's School of Computer Science developed Pangea. The open-source, multilingual multimodal large language model (MLLM) recognizes 39 languages and was trained on six million data samples to create a culturally inclusive model.",,,,,,,,,,,,Technical Prototypes,Data,,,,,,,,,,,,,,,,,,,,,,,,
Pangea Multilingual Multimodal Large Language Model (MLLM),,https://neulab.github.io/Pangea/,logos/114ff391c729815ab29a07c2c4b0ba3f6fd1e3c500dd58961a8bcb0526573b63.svg,,,,,,,,,"Carnegie Mellon University's School of Computer Science developed Pangea. The open-source, multilingual multimodal large language model (MLLM) recognizes 39 languages and was trained on six million data samples to create a culturally inclusive model.",,,,,,,,,,,,Technical Prototypes,Design/architecture,,,,,,,,,,,,,,,,,,,,,,,,
Pangea Multilingual Multimodal Large Language Model (MLLM),,https://neulab.github.io/Pangea/,logos/114ff391c729815ab29a07c2c4b0ba3f6fd1e3c500dd58961a8bcb0526573b63.svg,,,,,,,,,"Carnegie Mellon University's School of Computer Science developed Pangea. The open-source, multilingual multimodal large language model (MLLM) recognizes 39 languages and was trained on six million data samples to create a culturally inclusive model.",,,,,,,,,,,,Technical Prototypes,Code,,,,,,,,,,,,,,,,,,,,,,,,
Pangea Multilingual Multimodal Large Language Model (MLLM),,https://neulab.github.io/Pangea/,logos/114ff391c729815ab29a07c2c4b0ba3f6fd1e3c500dd58961a8bcb0526573b63.svg,,,,,,,,,"Carnegie Mellon University's School of Computer Science developed Pangea. The open-source, multilingual multimodal large language model (MLLM) recognizes 39 languages and was trained on six million data samples to create a culturally inclusive model.",,,,,,,,,,,,Technical Prototypes,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
Responsible AI,,https://www.cmu.edu/block-center/responsible-ai/index.html,logos/ef66c59356aca77521dc5751ad298391e54f4443c39b8d3d304fd15857fd3071.svg,,,,,,,,,"CMU's Responsible AI initiative brings together researchers and educators spanning computer science, engineering, decision sciences, philosophy, arts, economics, psychology, public policy, statistics, and business to make progress in:Translating research to policy and social impact: translating research insights into policy and positive social impact.Building community and serving our local and global communities: collaborating and co-designing with local communities and the public at large. Education and training: offering hands-on and experiential educational and research opportunities for students, staff and faculty. Partnerships: working collaboratively with partners to develop and deploy AI methodologies and tools that enable learning, practice, and research.",,,,,,,,,,,,Research,Data,,,,,,,,,,,,,,,,,,,,,,,,
Responsible AI,,https://www.cmu.edu/block-center/responsible-ai/index.html,logos/ef66c59356aca77521dc5751ad298391e54f4443c39b8d3d304fd15857fd3071.svg,,,,,,,,,"CMU's Responsible AI initiative brings together researchers and educators spanning computer science, engineering, decision sciences, philosophy, arts, economics, psychology, public policy, statistics, and business to make progress in:Translating research to policy and social impact: translating research insights into policy and positive social impact.Building community and serving our local and global communities: collaborating and co-designing with local communities and the public at large. Education and training: offering hands-on and experiential educational and research opportunities for students, staff and faculty. Partnerships: working collaboratively with partners to develop and deploy AI methodologies and tools that enable learning, practice, and research.",,,,,,,,,,,,Research,Design/architecture,,,,,,,,,,,,,,,,,,,,,,,,
Responsible AI,,https://www.cmu.edu/block-center/responsible-ai/index.html,logos/ef66c59356aca77521dc5751ad298391e54f4443c39b8d3d304fd15857fd3071.svg,,,,,,,,,"CMU's Responsible AI initiative brings together researchers and educators spanning computer science, engineering, decision sciences, philosophy, arts, economics, psychology, public policy, statistics, and business to make progress in:Translating research to policy and social impact: translating research insights into policy and positive social impact.Building community and serving our local and global communities: collaborating and co-designing with local communities and the public at large. Education and training: offering hands-on and experiential educational and research opportunities for students, staff and faculty. Partnerships: working collaboratively with partners to develop and deploy AI methodologies and tools that enable learning, practice, and research.",,,,,,,,,,,,Research,Code,,,,,,,,,,,,,,,,,,,,,,,,
Responsible AI,,https://www.cmu.edu/block-center/responsible-ai/index.html,logos/ef66c59356aca77521dc5751ad298391e54f4443c39b8d3d304fd15857fd3071.svg,,,,,,,,,"CMU's Responsible AI initiative brings together researchers and educators spanning computer science, engineering, decision sciences, philosophy, arts, economics, psychology, public policy, statistics, and business to make progress in:Translating research to policy and social impact: translating research insights into policy and positive social impact.Building community and serving our local and global communities: collaborating and co-designing with local communities and the public at large. Education and training: offering hands-on and experiential educational and research opportunities for students, staff and faculty. Partnerships: working collaboratively with partners to develop and deploy AI methodologies and tools that enable learning, practice, and research.",,,,,,,,,,,,Community Engagement,Human feedback,,,,,,,,,,,,,,,,,,,,,,,,
Responsible AI,,https://www.cmu.edu/block-center/responsible-ai/index.html,logos/ef66c59356aca77521dc5751ad298391e54f4443c39b8d3d304fd15857fd3071.svg,,,,,,,,,"CMU's Responsible AI initiative brings together researchers and educators spanning computer science, engineering, decision sciences, philosophy, arts, economics, psychology, public policy, statistics, and business to make progress in:Translating research to policy and social impact: translating research insights into policy and positive social impact.Building community and serving our local and global communities: collaborating and co-designing with local communities and the public at large. Education and training: offering hands-on and experiential educational and research opportunities for students, staff and faculty. Partnerships: working collaboratively with partners to develop and deploy AI methodologies and tools that enable learning, practice, and research.",,,,,,,,,,,,Policy Recommendations,Oversight,,,,,,,,,,,,,,,,,,,,,,,,
Robocrates,,https://www.cmu.edu/dietrich/,logos/73ade8bcfe4dda1c3ff605d4e12e429bb8523f4bbbac562aa554ee7ac10b6cdb.svg,,,,,,,,,"Debate/Argumentation bots designed to deepen students' understanding of philosophical arguments and improve critical thinking. These bots engage students in Socratic dialogues, challenging assumptions and encouraging logical reasoning. They can simulate various philosophical perspectives to broaden students' understanding.",,,,,,,,,,,,Technical Prototypes,"Expertise, education, training",,,,,,,,,,,,,,,,,,,,,,,,
Socratic Books,,https://www.cmu.edu/dietrich/,logos/c961b2b9818fe683212545106669147beddeca3298e2354d4820ee6d304d11f1.svg,,,,,,,,,"AI-powered educational tools delivering personalized content through conversational interactions. These textbooks adapt to each student's pace and interests, using the Socratic method to ensure comprehensive understanding. They can provide instructors with insights on individual and class-wide learning progress, enabling targeted interventions and curriculum adjustments.",,,,,,,,,,,,Technical Prototypes,"Expertise, education, training",,,,,,,,,,,,,,,,,,,,,,,,
Student Intervention/Muddiest point System,,https://www.cmu.edu/dietrich/,logos/fe03f6772fddb67d262845d666d586dd4e51747af33e345764e892975873e80a.svg,,,,,,,,,"An AI-powered system for analyzing student understanding, tracking attendance, and providing early intervention support. It identifies areas where students struggle and offers targeted assistance. The system also helps instructors optimize their teaching strategies based on real-time feedback.",,,,,,,,,,,,Technical Prototypes,Human feedback,,,,,,,,,,,,,,,,,,,,,,,,
Teachable AI Lab - Cobweb,,https://github.com/Teachable-AI-Lab/cobweb,logos/b8aad13a2c3adf03be225c6c18b54d9b953c93fb6c87a7c5043eb9d8c8e749c8.svg,,,,,,,,,"Part of AI-ALOE center focused on adult education, Cobweb is a clustering model which supports incremental concept learning from fewer examples",,,,,,,,,,,,Technical Prototypes,Model weights,,,,,,,,,,,,,,,,,,,,,,,,
Trails,,https://www.trails.umd.edu/,logos/e315b2b77bc100ab04095cb1bfe1a5bcc2cf43014baafc77e61be8c45a7ad217.svg,,,,,,,,,"The Design Decisions that Make LLM Development Projects Open, Secure, and Trustworthy. This project aims to operationalize principles of Trustworthy AI within the development of customized applications of open source Large Language Models (LLMs) with the goal of providing a pragmatic planning guide and toolkit for student/faculty project teams. This will be achieved through the practical examination of development processes utilized by student/faculty teams working on LLM-based projects (e.g., custom chatbot for a history course); with specific focus on student/faculty teams without Computer Science backgrounds. The project will utilize a combination of the NIST Trustworthy AI Risk Management framework [1], the CISA Secure by Design framework [2], and Open Source/Science principles [3, 4, 5] to guide these teams. The outcome will include the development of a consolidated framework and comprehensive toolkit (including a repository of best practices) aimed at enhancing the trustworthiness, security, and openness of AI applications in academic settings.",,,,,,,,,,,,Research,Design/architecture,,,,,,,,,,,,,,,,,,,,,,,,
